model,stage,accuracy,precision,recall,threshold,params_json,meets_accuracy_floor,accuracy_floor,model_path
logistic_regression,optimized_search,0.835,0.814503415659485,0.6158124751688518,0.59,"{""C"": 0.5, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.83325,0.8188679245283019,0.6034962256654748,0.6,"{""C"": 0.5, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.831375,0.8215859030837004,0.5927691696464045,0.61,"{""C"": 0.5, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.83,0.8237269166200336,0.5848232022248708,0.62,"{""C"": 0.5, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.828625,0.8266818700114025,0.576082638061184,0.63,"{""C"": 0.5, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.82625,0.8278068644560791,0.5653555820421137,0.64,"{""C"": 0.5, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.825625,0.8327402135231317,0.5578069129916567,0.65,"{""C"": 0.5, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.82375,0.8356579745300182,0.547477155343663,0.66,"{""C"": 0.5, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.822,0.8396519577377253,0.5367500993245927,0.67,"{""C"": 0.5, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.820875,0.8434727503168568,0.5288041319030592,0.68,"{""C"": 0.5, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.819375,0.8498694516971279,0.5172824791418356,0.69,"{""C"": 0.5, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.816625,0.8514056224899599,0.5053635280095352,0.7,"{""C"": 0.5, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.814375,0.8568464730290456,0.4922526817640048,0.71,"{""C"": 0.5, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.811125,0.8582621082621082,0.4787445371473977,0.72,"{""C"": 0.5, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.810625,0.8656934306569343,0.4711958680969408,0.73,"{""C"": 0.5, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.807375,0.8696969696969697,0.456098529996027,0.74,"{""C"": 0.5, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.804375,0.8765822784810127,0.44020659515295985,0.75,"{""C"": 0.5, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.801125,0.8807565789473685,0.42550655542312277,0.76,"{""C"": 0.5, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.797625,0.8857388316151202,0.4096146205800556,0.77,"{""C"": 0.5, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.796,0.8968609865470852,0.3972983710766786,0.78,"{""C"": 0.5, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.793125,0.9005576208178439,0.38498212157330153,0.79,"{""C"": 0.5, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.789875,0.9011516314779271,0.3730631704410012,0.8,"{""C"": 0.5, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.786125,0.9038076152304609,0.3583631307111641,0.81,"{""C"": 0.5, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.698125,0.5107959356477562,0.9586809694080254,0.2,"{""C"": 0.5, ""class_weight"": ""balanced""}",False,0.8545,
logistic_regression,optimized_search,0.704875,0.5167310167310167,0.9570917759237187,0.21,"{""C"": 0.5, ""class_weight"": ""balanced""}",False,0.8545,
logistic_regression,optimized_search,0.711375,0.5226480836236934,0.9535160905840286,0.22,"{""C"": 0.5, ""class_weight"": ""balanced""}",False,0.8545,
logistic_regression,optimized_search,0.7175,0.528335170893054,0.9519268970997219,0.23,"{""C"": 0.5, ""class_weight"": ""balanced""}",False,0.8545,
